seed: inteligencia artificial empresas
db: es | currency: eur
total_keywords: 523 (post-filtro 26 exclusiones)
total_vol: 5870
avg_kd: 33
extracted: top 15 by volume

kw|vol|kd|cpc|intent
empresas de inteligencia artificial|390|48|1.54|I
empresa de inteligencia artificial|320|53|1.59|C
inteligencia artificial para empresas|320|42|3.46|I
inteligencia artificial empresas|260|35|2.68|I
inteligencia artificial en las empresas|260|63|1.92|I
empresa inteligencia artificial|210|50|1.83|C
empresas inteligencia artificial|210|46|1.83|I
inteligencia artificial aplicada a la empresa|210|50|2.19|I
inteligencia artificial en empresas|170|60|1.68|I
curso inteligencia artificial aplicada a la empresa|110|27|2.64|I
empresas inteligencia artificial españa|110|44|1.55|I
soluciones de inteligencia artificial para empresas|110|41|3.46|I
curso inteligencia artificial aplicada a la empresa gratis|90|4|1.7|I
herramientas de inteligencia artificial para empresas|50|38||I
inteligencia artificial empresa|50|58|1.92|I
