seed: agente IA
db: es | currency: eur
total_keywords: 938 (MAYOR VOLUMEN DE TODOS LOS SEEDS)
total_vol: 13550
avg_kd: 29
insight: Categoría explosiva 2025-2026. Top volumen 1000, pero KD alto (65). Oportunidades MOFU ("crear agente ia") con KD 28
extracted: top 15 by volume

kw|vol|kd|cpc|intent
agentes ia|1000|65|1.68|I
agente ia|880|65|1.68|I
agentes de ia|480|67|1.01|I
agente de ia|320|60|1.01|I
udemy n8n agentes y automatizaciones de ia sin código|320|35||N T
agentic ia|260|62|4.85|I
ia agentica|260|27||I
ia agents|260|65|2.26|I
agent ia|210|66|1.75|I
que es un agente de ia|210|59|0.13|I
ia agéntica|170|23|1.27|I
que es un agente ia|170|62|0.11|I
comercio con agentic ia|110|8||I
crear agente ia|110|28|1.01|I
mejores agentes ia con ide|110|10||I
